,models,rmse,rmsestd,r2:,r2std
0,sridge,0.01612875022920028,0.009499768758942343,0.8718937373956663,0.06605802733051318
1,slasso,0.05502178940226667,0.028572522758947252,-0.48149894131350635,0.22005116996307714
2,senet,0.05502178940226667,0.028572522758947252,-0.48149894131350635,0.22005116996307714
3,splsridge,0.016637375133685506,0.009890720485358427,0.8607200400588153,0.06270052173069542
4,splslasso,0.01662905891194182,0.009897677507183534,0.8606071906521174,0.06243512496711496
5,splsenet,0.01663384958409585,0.009893021516323711,0.8606349431796306,0.06251772983529227
6,pmridge,0.013818276267628542,0.009635813325284282,0.895700524978644,0.051118354899096365
7,pmlasso,0.05502178940226667,0.028572522758947252,-0.48149894131350635,0.22005116996307714
8,pmenet,0.05502178940226667,0.028572522758947252,-0.48149894131350635,0.22005116996307714
9,pmplsridge,0.01444606346328957,0.010529206270002046,0.883492389930601,0.053886071821857916
10,pmplslasso,0.01444606346328957,0.010529206270002046,0.883492389930601,0.053886071821857916
11,pmplsenet,0.01444606346328957,0.010529206270002046,0.883492389930601,0.053886071821857916
12,mskridge,0.014329440520490063,0.00867938294800658,0.8984033750381265,0.05600542927559162
13,msklasso,0.05502178940226667,0.028572522758947252,-0.48149894131350635,0.22005116996307714
14,mskenet,0.05502178940226667,0.028572522758947252,-0.48149894131350635,0.22005116996307714
15,mskplsridge,0.015883947748677043,0.010168272382138858,0.8693439157817137,0.06307725205821081
16,mskplslasso,0.01773335063962774,0.009891240555889039,0.8455694032020923,0.06828166322490686
17,mskplsenet,0.017522253292123292,0.009937956575846958,0.8475367421646772,0.06602589289897393
18,msknsridge,0.015430937301154305,0.00947584595710502,0.8806648297781973,0.05766813396745672
19,msknslasso,0.11411267009146976,0.04260308738077138,-4.4215509225307965,8.462235278459552
20,msknsenet,0.10599031441839717,0.04022656656115615,-3.1410786944159814,3.808367095063101
21,tskridge,0.01345547340911411,0.008848949530897869,0.9050809489220708,0.05106275110134838
22,tsklasso,0.05502178940226667,0.028572522758947252,-0.48149894131350635,0.22005116996307714
23,tskenet,0.05502178940226667,0.028572522758947252,-0.48149894131350635,0.22005116996307714
24,tskplsridge,0.014638806836196247,0.009778886042857647,0.8849158389216939,0.04841100528377172
25,tskplslasso,0.01617450055427427,0.010552071048438808,0.8650793367561123,0.0636864100432447
26,tskplsenet,0.015427711573986164,0.010277422436669978,0.8740263618360811,0.055669957526827775
27,tsknsridge,0.014429008108967878,0.00963016314076975,0.8892151327253078,0.05079051315488641
28,tsknslasso,0.05503144678623264,0.028566264126300735,-0.48193276585774336,0.22126377640677244
29,tsknsenet,0.05503144678623264,0.028566264126300735,-0.48193276585774336,0.22126377640677244
