,models,rmse,rmsestd,r2:,r2std
0,sridge,0.014433693055743803,0.009446995964237705,0.8849668439239078,0.07510760625737035
1,slasso,0.06104401995380865,0.025558280481806462,-0.7652660306438602,0.45598375345856773
2,senet,0.06104401995380865,0.025558280481806462,-0.7652660306438602,0.45598375345856773
3,splsridge,0.016126860221210623,0.009759058146028246,0.8603584125474342,0.06392106714071252
4,splslasso,0.016173913750635257,0.00974698247219799,0.8599442287266573,0.06482049638508805
5,splsenet,0.016153493056876918,0.009752040948676611,0.8601259772999866,0.06443468651969461
6,pmridge,0.01256513198901659,0.010323586454973199,0.8960102564867414,0.05245929571348899
7,pmlasso,0.06104401995380865,0.025558280481806462,-0.7652660306438602,0.45598375345856773
8,pmenet,0.06104401995380865,0.025558280481806462,-0.7652660306438602,0.45598375345856773
9,pmplsridge,0.012869941006700102,0.010848257184036115,0.8888489734761019,0.051921765313292165
10,pmplslasso,0.012869941006700102,0.010848257184036115,0.8888489734761019,0.051921765313292165
11,pmplsenet,0.012869941006700102,0.010848257184036115,0.8888489734761019,0.051921765313292165
12,mskridge,0.014666864461863735,0.009210895573231681,0.882970228136557,0.08004510422282704
13,msklasso,0.06104401995380865,0.025558280481806462,-0.7652660306438602,0.45598375345856773
14,mskenet,0.06104401995380865,0.025558280481806462,-0.7652660306438602,0.45598375345856773
15,mskplsridge,0.01628186542971482,0.009938547344717677,0.8536522199654778,0.10089812381976497
16,mskplslasso,0.01824595520928627,0.009615185953920555,0.832263983178044,0.11488393927191747
17,mskplsenet,0.017190006832124075,0.009744398887492005,0.8443322859609091,0.10563363404459426
18,msknsridge,0.0159688138907122,0.009660747211399062,0.8632384976718552,0.08304125193622514
19,msknslasso,0.09952722179682906,0.03674631620683001,-3.481451588173974,2.3977239108908566
20,msknsenet,0.08974137993655494,0.03297069681636318,-2.8300621418139813,1.1959081276570294
21,tskridge,0.012695206781020233,0.010036933866341139,0.8976433829542303,0.05773362488487189
22,tsklasso,0.06104401995380865,0.025558280481806462,-0.7652660306438602,0.45598375345856773
23,tskenet,0.06104401995380865,0.025558280481806462,-0.7652660306438602,0.45598375345856773
24,tskplsridge,0.013431734840414796,0.010519172476851631,0.8855137757637976,0.05306009442080208
25,tskplslasso,0.014965644838345494,0.010463421202589066,0.8713267235908996,0.06229142489301203
26,tskplsenet,0.01418878073787472,0.010412936665943952,0.8793591690158681,0.056632243895665776
27,tsknsridge,0.013635615110820981,0.01029985731999324,0.8854134306218343,0.058621271736080345
28,tsknslasso,0.06104726108287897,0.025556660126697994,-0.7663115148343632,0.4585283845343323
29,tsknsenet,0.06104726108287897,0.025556660126697994,-0.7663115148343632,0.4585283845343323
